project_id,country,docty,doctype_short,lang,docdt,report_nb,guid,pdfurl,filename,size_bytes,status
P508310,Armenia,Environmental and Social Commitment Plan,ESCP,English,2025-12-18,,099121825012536684,https://documents.worldbank.org/curated/en/099121825012536684/pdf/P508310-320eb329-06bc-46eb-8ee1-ff8960553e1d.pdf,P508310_Armenia_ESCP_2025-12-18_099121.pdf,696248,present
P508310,Armenia,Environmental and Social Commitment Plan,ESCP,English,2025-12-18,,099121825004522963,https://documents.worldbank.org/curated/en/099121825004522963/pdf/P508310-c07c0a6a-79b3-4494-ab00-1c328025cbe8.pdf,P508310_Armenia_ESCP_2025-12-18_099121.pdf,696248,present
P508310,Armenia,Project Appraisal Document,PAD,English,2025-12-02,PADHI01102,099120425153034855,https://documents.worldbank.org/curated/en/099120425153034855/pdf/BOSIB-5c7af509-0661-4cf7-81f3-9b296bf79ae7.pdf,P508310_Armenia_PAD_2025-12-02_PADHI01102_099120.pdf,1197072,present
P508310,Armenia,Environmental and Social Commitment Plan,ESCP,English,2025-11-18,,099111825214177344,https://documents.worldbank.org/curated/en/099111825214177344/pdf/P508310-63523498-d05e-422c-a11e-b8b6a8ac6c9e.pdf,P508310_Armenia_ESCP_2025-11-18_099111.pdf,255394,present
P508310,Armenia,Environmental and Social Commitment Plan,ESCP,English,2025-11-18,,099111825220813218,https://documents.worldbank.org/curated/en/099111825220813218/pdf/P508310-faaa33c6-94ae-4b02-bc03-012f9021186d.pdf,P508310_Armenia_ESCP_2025-11-18_099111.pdf,255394,present
P508310,Armenia,Stakeholder Engagement Plan,SEP,English,2025-10-29,,099102925040092061,https://documents.worldbank.org/curated/en/099102925040092061/pdf/P508310-d05e2651-09f2-4a62-8060-ab9541adad05.pdf,P508310_Armenia_SEP_2025-10-29_099102.pdf,554306,present
P508310,Armenia,Project Information Document,PID,English,2025-10-10,PIDIA01301,099101025153513042,https://documents.worldbank.org/curated/en/099101025153513042/pdf/P508310-b2b70a96-647f-4e17-8367-e6ce8587cca4.pdf,P508310_Armenia_PID_2025-10-10_PIDIA01301_099101.pdf,222008,present
P508310,Armenia,Environmental and Social Review Summary,ESRS,English,2025-10-10,ESRSA04516,099101025124018297,https://documents.worldbank.org/curated/en/099101025124018297/pdf/P508310-7de4cbf9-1cd2-4989-86c7-25af630c3878.pdf,P508310_Armenia_ESRS_2025-10-10_ESRSA04516_099101.pdf,148566,present
P508310,Armenia,Stakeholder Engagement Plan,SEP,English,2025-10-10,,099101025124025569,https://documents.worldbank.org/curated/en/099101025124025569/pdf/P508310-0a37050b-8f39-453b-986f-5199d702fa55.pdf,P508310_Armenia_SEP_2025-10-10_099101.pdf,516409,present
P508310,Armenia,Environmental and Social Commitment Plan,ESCP,English,2025-10-10,,099101025124029506,https://documents.worldbank.org/curated/en/099101025124029506/pdf/P508310-43293aff-bc2b-4955-a8b1-818d8d3088d2.pdf,P508310_Armenia_ESCP_2025-10-10_099101.pdf,266662,present
