Institution,Project_ID,Country,Doc_Title,URL,Filename
ADB,58122-001,Armenia,Grant Agreement,https://www.adb.org/sites/default/files/project-documents/58122/58122-001-grj-en.pdf,58122-001_01_Grant-Agreement.pdf
ADB,58122-001,Armenia,Reports and Recommendations of the President,https://www.adb.org/sites/default/files/project-documents/58122/58122-001-rrp-en.pdf,58122-001_02_Reports-and-Recommendations-of-the-President.pdf
ADB,58122-001,Armenia,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/58122/58122-001-lna-en.pdf,58122-001_03_Loan-Agreement.pdf
ADB,58122-001,Armenia,Reports and Recommendations of the President,https://www.adb.org/sites/default/files/project-documents/58122/58122-001-rrp-en.pdf,58122-001_04_Reports-and-Recommendations-of-the-President.pdf
ADB,55201-001,Bangladesh,Grant Agreement,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-grj-en.pdf,55201-001_01_Grant-Agreement.pdf
ADB,55201-001,Bangladesh,Social Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-rrp-en.pdf,55201-001_02_Social-Monitoring-Reports.pdf
ADB,55201-001,Bangladesh,Safeguards Due Diligence Reports,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-sddr-en_42.pdf,55201-001_03_Safeguards-Due-Diligence-Reports.pdf
ADB,55201-001,Bangladesh,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-lna-en_1.pdf,55201-001_04_Loan-Agreement.pdf
ADB,55201-001,Bangladesh,Social Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-rrp-en.pdf,55201-001_05_Social-Monitoring-Reports.pdf
ADB,55201-001,Bangladesh,Safeguards Due Diligence Reports,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-sddr-en_42.pdf,55201-001_06_Safeguards-Due-Diligence-Reports.pdf
ADB,55201-001,Bangladesh,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-lna-en.pdf,55201-001_07_Loan-Agreement.pdf
ADB,55201-001,Bangladesh,Social Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-rrp-en.pdf,55201-001_08_Social-Monitoring-Reports.pdf
ADB,55201-001,Bangladesh,Safeguards Due Diligence Reports,https://www.adb.org/sites/default/files/project-documents/55201/55201-001-sddr-en_42.pdf,55201-001_09_Safeguards-Due-Diligence-Reports.pdf
ADB,55307-001,Bangladesh,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/55307/55307-001-lna-en.pdf,55307-001_01_Loan-Agreement.pdf
ADB,55307-001,Bangladesh,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55307/55307-001-rrp-en.pdf,55307-001_02_Environmental-Monitoring-Reports.pdf
ADB,55307-001,Bangladesh,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55307/55307-001-emr-en_2.pdf,55307-001_03_Environmental-Monitoring-Reports.pdf
ADB,55307-001,Bangladesh,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55307/55307-001-rrp-en.pdf,55307-001_04_Environmental-Monitoring-Reports.pdf
ADB,55307-001,Bangladesh,Environmental Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/55307/55307-001-emr-en_2.pdf,55307-001_05_Environmental-Monitoring-Reports.pdf
ADB,39295-013,Bangladesh,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/39295/39295-038-lna-en.pdf,39295-013_01_Loan-Agreement.pdf
ADB,39295-013,Bangladesh,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/39295/39295-038%2C%2039295-013-rrp-en.pdf,39295-013_02_ProjectProgram-Completion-Reports.pdf
ADB,39295-013,Bangladesh,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/39295/39295-013-pcr-en.pdf,39295-013_03_ProjectProgram-Completion-Reports.pdf
ADB,39295-013,Bangladesh,Loan Agreement,https://www.adb.org/sites/default/files/project-documents/39295/39295-038-lna-en.pdf,39295-013_04_Loan-Agreement.pdf
ADB,39295-013,Bangladesh,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/39295/39295-038%2C%2039295-013-rrp-en.pdf,39295-013_05_ProjectProgram-Completion-Reports.pdf
ADB,39295-013,Bangladesh,Project/Program Completion Reports,https://www.adb.org/sites/default/files/project-documents/39295/39295-013-pcr-en.pdf,39295-013_06_ProjectProgram-Completion-Reports.pdf
ADB,54355-001,Bhutan,Grant Agreement,https://www.adb.org/sites/default/files/project-documents/54355/54355-001-grj-en.pdf,54355-001_01_Grant-Agreement.pdf
ADB,54355-001,Bhutan,Social Monitoring Reports,https://www.adb.org/sites/default/files/project-documents/54355/54355-001-rrp-en.pdf,54355-001_02_Social-Monitoring-Reports.pdf
ADB,54355-001,Bhutan,Safeguards Due Diligence Reports,https://www.adb.org/sites/default/files/project-documents/54355/54355-001-sddr-en_10.pdf,54355-001_03_Safeguards-Due-Diligence-Reports.pdf
