Project_ID,Institution,Country,Short_Name,N_Documents,Total_Hits,Best_Classification,Classifications_Found
37919-014,ADB,Philippines,PHI: NHMFC&apos;s DISPOSAL OF NON-PERFOR,1,0,,
39295-013,ADB,Bangladesh,Third Urban Governance and Infrastructur,7,0,,
41914-014,ADB,Maldives,MLD: EQUITY INVESTMENT AND LOAN TO THE H,2,0,,
44318-023,ADB,Uzbekistan,Housing for Integrated Rural Development,2,0,,
44318-025,ADB,Uzbekistan,Housing for Integrated Rural Development,1,0,,
45007-004,ADB,Mongolia,Ulaanbaatar Urban Services and Ger Areas,2,0,,
45007-005,ADB,Mongolia,Ulaanbaatar Urban Services and Ger Areas,6,0,,
45007-009,ADB,Mongolia,Ulaanbaatar Urban Services and Ger Areas,6,0,,
46094-001,ADB,Indonesia,Neighborhood Upgrading and Shelter Proje,3,0,,
47127-002,ADB,Myanmar,Mandalay Urban Services Improvement Proj,3,0,,
49169-002,ADB,Mongolia,Ulaanbaatar Green Affordable Housing and,12,0,,
49430-005,ADB,Mongolia,Aimags and Soums Green Regional Developm,2,0,,
49430-006,ADB,Mongolia,Aimags and Soums Green Regional Developm,10,0,,
50022-002,ADB,Uzbekistan,Affordable Rural Housing Program,2,0,,
51348-001,ADB,Uzbekistan,Mortgage Market Sector Development Progr,6,0,,
51348-005,ADB,Uzbekistan,Mortgage Market Sector Development Progr,3,0,,
52334-001,ADB,Kazakhstan,Promoting Gender Equality in Housing Fin,3,0,,
53067-004,ADB,India,"Inclusive, Resilient, and Sustainable Ho",3,0,,
53080-001,ADB,China,Heilongjiang Green Transformation Demons,9,0,,
54355-001,ADB,Bhutan,Green and Resilient Affordable Housing S,9,0,,
55201-001,ADB,Bangladesh,Coastal Towns Climate Resilience Project,15,0,,
55307-001,ADB,Bangladesh,Improving Urban Governance and Infrastru,7,0,,
56182-001,ADB,China,Chongqing Gaoxin District Green and Low-,3,0,,
58122-001,ADB,Armenia,Transformative Housing Reforms for Impro,6,0,,
58135-001,ADB,Kazakhstan,Promoting Inclusive and Green Housing Fi,2,0,,
58345-001,ADB,Kyrgyz Republic,Enhancing Housing Finance for Affordable,4,0,,
P178986,World Bank,Eastern and Southern Africa,"Africa Green, Resilient and Inclusive Ho",8,6,hazard,hazard
