Institution,Project_ID,Project_Name,Country,Status,Approval_Date,Total_Commitment_USD,Sector_Codes
ADB,50022-002,Affordable Rural Housing Program,Uzbekistan,Finalisation,,500000000,16030
World Bank,P505746,Sindh Flood Emergency Housing Reconstruction Project,Pakistan,Active,2024-12-24,450000000,"YYF,YYH"
ADB,55307-001,Improving Urban Governance and Infrastructure Program,Bangladesh,Implementation,,301000000.0,"14050,16030,21011,43032,43060"
IDB,XI-IATI-IADB-EC-U0001,FINANCING LOW-INCOME HOUSING IN ECUADOR,Ecuador,Implementation,2018-12-06,300000000,16040
IDB,XI-IATI-IADB-PE-L1293,Program to promote Social Housing in Peru,Peru,Implementation,2025-12-03,300000000,16040
ADB,58122-001,Transformative Housing Reforms for Improved Vitality and Empowerment,Armenia,Implementation,,266450000.0,16030
World Bank,P508310,Armenia Housing Response and Mortgage Market Enhancement Project,Armenia,Active,2025-12-23,250000000,"YYF,YYH"
IDB,XI-IATI-IADB-EC-U0010,Financing Low-Income Housing in Ecuador II,Ecuador,Implementation,2025-12-10,250000000,16040
ADB,55201-001,Coastal Towns Climate Resilience Project,Bangladesh,Implementation,,250000000.0,"14050,16030,21011,43032,43060"
World Bank,P513953,"Housing Opportunity: Governance, Affordability, Reform in El Salvador",El Salvador,Pipeline,2026-10-20,230000000,"BBH,NNF,NNI,YYF,YYH"
ADB,49169-002,Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Sector Project,Mongolia,Implementation,,225000000.0,16040
World Bank,P181251,Financial Inclusion for Households and MSMEs in the WAEMU,Western and Central Africa,Active,2025-05-21,205000000,"FFA,FFK,FFP,YYH"
World Bank,P507999,"Cameroon Finance for Jobs, Inclusion and Growth",Cameroon,Pipeline,2026-12-17,200000000,"FFL,FFP,NNI,YYH"
World Bank,P512529,Promoting Sustainable Housing in Brazil Project,Brazil,Pipeline,2026-09-29,200000000,"BBH,LLU,NNI,WWF,YYF,YYH"
IDB,XI-IATI-IADB-AR-L1179,Neighborhood Improvement Program Third Individual Operation,Argentina,Finalisation,2016-05-25,200000000,16040
IDB,XI-IATI-IADB-ME-L1167,Project to Address Social and Basic Services Gaps in Urban Areas,Mexico,Implementation,2015-12-07,200000000,16040
ADB,39295-013,Third Urban Governance and Infrastructure Improvement (Sector) Project,Bangladesh,Finalisation,,200000000.0,"14031,14032,14050,16030,21011,43032,43060"
ADB,44318-023,Housing for Integrated Rural Development Investment Program - Tranche 1,Uzbekistan,Finalisation,,200000000,16030
ADB,44318-025,Housing for Integrated Rural Development Improvement Program - Tranche 2,Uzbekistan,Finalisation,,200000000,16030
ADB,51348-001,Mortgage Market Sector Development Program,Uzbekistan,Finalisation,,200000000.0,16030
ADB,56182-001,Chongqing Gaoxin District Green and Low-Carbon Urban Development Program,China,Implementation,,195381600,"14015,14022,14031,14032,16040,23183,43032,43060"
ADB,58135-001,Promoting Inclusive and Green Housing Finance Project,Kazakhstan,Pipeline,,193948794,16030
ADB,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,China,Implementation,,193000000.0,"14015,14032,16040,21011,21061,22020,43032"
World Bank,P512540,Fortaleza Urban and Fiscal Sustainability Development Policy Loan,Brazil,Pipeline,2026-07-31,177193472,"BBH,NNI,SSA,SSG,TTC,YYH"
IDB,XI-IATI-IADB-ES-L1172,Comprehensive Program for Urban Regeneration and Sustainable Revitalization of the Municipal Markets in Santa Tecla and La Libertad,El Salvador,Implementation,2025-09-17,170000000,16040
ADB,49430-006,Aimags and Soums Green Regional Development Investment Program - Tranche 1,Mongolia,Implementation,,168200000.0,"14015,14022,14031,14050,16030,16040,21011,21023,23183,23620,23630,24010,24040,31110,31130,31140,31161,31163,43032,43060"
IDB,XI-IATI-IADB-AR-L1361,Urban Social Integration and Housing Improvement Program,Argentina,Implementation,2023-06-26,150000000,16040
IDB,XI-IATI-IADB-AR-L1341,Barrio Improvement Program,Argentina,Implementation,2023-06-30,150000000,16040
IDB,XI-IATI-IADB-BR-L1588,State Housing Program - State of Paran - Vida Nova Project,Brazil,Implementation,2024-04-10,150000000,16040
