Institution,Project_ID,Project_Name,Country,Status,Approval_Date,Total_Commitment_USD,Sector_Codes
IDB,XI-IATI-IADB-AR-L1361,Urban Social Integration and Housing Improvement Program,Argentina,Implementation,2023-06-26,150000000,16040
IDB,XI-IATI-IADB-AR-L1306,Social and Urban Integration Program,Argentina,Implementation,2021-03-19,50000000,16040
IDB,XI-IATI-IADB-AR-L1341,Barrio Improvement Program,Argentina,Implementation,2023-06-30,150000000,16040
IDB,XI-IATI-IADB-AR-L1288,Social and Urban Integration Program in Greater Buenos Aires,Argentina,Implementation,2022-04-21,100000000,16040
IDB,XI-IATI-IADB-AR-L1179,Neighborhood Improvement Program Third Individual Operation,Argentina,Finalisation,2016-05-25,200000000,16040
IDB,XI-IATI-IADB-BL-L1046,Sustainable and Inclusive Urban Development Program,Belize,Implementation,2025-10-21,10000000,16040
IDB,XI-IATI-IADB-BR-L1588,State Housing Program - State of Paran - Vida Nova Project,Brazil,Implementation,2024-04-10,150000000,16040
IDB,XI-IATI-IADB-BR-L1497,Vitria Urban Improvement and Citizen Security Program (First Stage of the Sustainable Vitria Action Plan),Brazil,Implementation,2020-02-19,100000000,16030
IDB,XI-IATI-IADB-BR-L1520,STATE PROGRAM TO SUPPORT URBAN DEVELOPMENT AND MUNICIPAL INFRASTRUCTURE IMPROVEMENTS: PARAN URBANO III,Brazil,Implementation,2020-08-26,118370100,16030
IDB,XI-IATI-IADB-BR-L1596,ProMorar Brasil - Promotion of New Housing Strategies in Brazil for Low-income Population,Brazil,Implementation,2023-06-28,54055925,16040
IDB,XI-IATI-IADB-EC-L1245,First individual operation under the CCLIP Housing Solutions for poor and vulnerable households,Ecuador,Implementation,2019-09-10,93900000,16040
IDB,XI-IATI-IADB-EC-U0010,Financing Low-Income Housing in Ecuador II,Ecuador,Implementation,2025-12-10,250000000,16040
IDB,XI-IATI-IADB-EC-L1290,Financing of Housing Solutions for the Popular and Solidarity Economy Population (EPS),Ecuador,Implementation,2025-07-14,70000000,16040
IDB,XI-IATI-IADB-EC-U0001,FINANCING LOW-INCOME HOUSING IN ECUADOR,Ecuador,Implementation,2018-12-06,300000000,16040
IDB,XI-IATI-IADB-ES-L1165,"Financing Program for Sustainable, Inclusive, Low-income Housing",El Salvador,Finalisation,2025-06-25,50000000,16040
IDB,XI-IATI-IADB-ES-L1172,Comprehensive Program for Urban Regeneration and Sustainable Revitalization of the Municipal Markets in Santa Tecla and La Libertad,El Salvador,Implementation,2025-09-17,170000000,16040
IDB,XI-IATI-IADB-ME-L1167,Project to Address Social and Basic Services Gaps in Urban Areas,Mexico,Implementation,2015-12-07,200000000,16040
IDB,XI-IATI-IADB-PN-L1154,Comprehensive urban urban development program with tourist vocations,Panama,Implementation,2021-05-20,100000000,16030
IDB,XI-IATI-IADB-PR-L1082,Improvement of Housing and Habitat,Paraguay,Finalisation,2016-12-21,30000000,16040
IDB,XI-IATI-IADB-PR-L1152,HOUSING AND REHABILITATION PROGRAM FOR BAADO SUR IN ASUNCIN,Paraguay,Implementation,2020-08-26,100000000,16040
IDB,XI-IATI-IADB-PE-L1293,Program to promote Social Housing in Peru,Peru,Implementation,2025-12-03,300000000,16040
IDB,XI-IATI-IADB-SU-L1067,Strengthening Spatial Planning and Environmental Management in Suriname,Suriname,Implementation,2024-10-04,30000000,16030
IDB,XI-IATI-IADB-TT-L1057,Urban Upgrading and Revitalization Program,Trinidad and Tobago,Implementation,2020-12-18,17500000,16040
IDB,XI-IATI-IADB-TT-L1056,Urban Upgrading and Revitalization Program,Trinidad and Tobago,Implementation,2020-12-18,32500000,16040
IDB,XI-IATI-IADB-UR-L1146,Neighborhood Improvement Program III,Uruguay,Implementation,2019-12-20,70000000,16040
IDB,XI-IATI-IADB-UR-L1188,Program for the Social and Urban Integration in Uruguay,Uruguay,Implementation,2024-12-09,60000000,16040
